File,BIC
K2_ILM10_replicate8_15.str.admix.K=2.out,2590.312854
K2_ILM10_replicate8_16.str.admix.K=2.out,2704.483865
K2_ILM10_replicate8_17.str.admix.K=2.out,1747.856854
K2_ILM10_replicate8_18.str.admix.K=2.out,3591.938153
K2_ILM10_replicate8_19.str.admix.K=2.out,2350.865787
K2_ILM10_replicate8_1.str.admix.K=2.out,1825.583804
K2_ILM10_replicate8_2.str.admix.K=2.out,2036.068662
K2_ILM10_replicate8_3.str.admix.K=2.out,1799.001626
K2_ILM10_replicate8_4.str.admix.K=2.out,3170.331070
K2_ILM10_replicate8_5.str.admix.K=2.out,2563.628522
K2_ILM10_replicate8_6.str.admix.K=2.out,3062.493986
K2_ILM10_replicate8_7.str.admix.K=2.out,3046.794311
K2_ILM10_replicate8_8.str.admix.K=2.out,3634.256068
K2_ILM10_replicate8_9.str.admix.K=2.out,2757.441874
K2_ILM10_replicate9_0.str.admix.K=2.out,2963.296947
K2_ILM10_replicate9_10.str.admix.K=2.out,3586.509177
K2_ILM10_replicate9_11.str.admix.K=2.out,1182.061485
K2_ILM10_replicate9_12.str.admix.K=2.out,2263.911366
K2_ILM10_replicate9_13.str.admix.K=2.out,2056.391537
K2_ILM10_replicate9_14.str.admix.K=2.out,2876.588799
K2_ILM10_replicate9_15.str.admix.K=2.out,2527.366601
K2_ILM10_replicate9_16.str.admix.K=2.out,2645.848181
K2_ILM10_replicate9_17.str.admix.K=2.out,2080.899708
K2_ILM10_replicate9_18.str.admix.K=2.out,4328.371996
K2_ILM10_replicate9_19.str.admix.K=2.out,2590.811546
K2_ILM10_replicate9_1.str.admix.K=2.out,2919.758445
K2_ILM10_replicate9_2.str.admix.K=2.out,2526.746611
K2_ILM10_replicate9_3.str.admix.K=2.out,2425.771175
K2_ILM10_replicate9_4.str.admix.K=2.out,2985.616182
K2_ILM10_replicate9_5.str.admix.K=2.out,2321.323613
K2_ILM10_replicate9_6.str.admix.K=2.out,4087.276293
K2_ILM10_replicate9_7.str.admix.K=2.out,2998.003283
K2_ILM10_replicate9_8.str.admix.K=2.out,1631.471018
K2_ILM10_replicate9_9.str.admix.K=2.out,1730.199516
K3_ILM10_replicate0_0.str.admix.K=3.out,1876.342155
K3_ILM10_replicate0_10.str.admix.K=3.out,3426.555113
K3_ILM10_replicate0_11.str.admix.K=3.out,2765.002234
K3_ILM10_replicate0_12.str.admix.K=3.out,2808.576997
K3_ILM10_replicate0_13.str.admix.K=3.out,3401.591177
K3_ILM10_replicate0_14.str.admix.K=3.out,2334.329566
K3_ILM10_replicate0_15.str.admix.K=3.out,2291.315226
K3_ILM10_replicate0_16.str.admix.K=3.out,3800.009551
K3_ILM10_replicate0_17.str.admix.K=3.out,3815.658373
K3_ILM10_replicate0_18.str.admix.K=3.out,2271.272413
K3_ILM10_replicate0_19.str.admix.K=3.out,3091.285056
K3_ILM10_replicate0_1.str.admix.K=3.out,4514.637216
K3_ILM10_replicate0_2.str.admix.K=3.out,3444.628965
K3_ILM10_replicate0_3.str.admix.K=3.out,6739.887521
K3_ILM10_replicate0_4.str.admix.K=3.out,3529.321169
K3_ILM10_replicate0_5.str.admix.K=3.out,2451.855729
K3_ILM10_replicate0_6.str.admix.K=3.out,2599.076306
K3_ILM10_replicate0_7.str.admix.K=3.out,2224.572667
K3_ILM10_replicate0_8.str.admix.K=3.out,2756.328779
K3_ILM10_replicate0_9.str.admix.K=3.out,3110.623984
K3_ILM10_replicate1_0.str.admix.K=3.out,4074.516330
K3_ILM10_replicate1_10.str.admix.K=3.out,2078.395722
K3_ILM10_replicate1_11.str.admix.K=3.out,3156.294149
K3_ILM10_replicate1_12.str.admix.K=3.out,2358.644220
K3_ILM10_replicate1_13.str.admix.K=3.out,2313.390026
K3_ILM10_replicate1_14.str.admix.K=3.out,1588.969915
K3_ILM10_replicate1_15.str.admix.K=3.out,2477.816705
K3_ILM10_replicate1_16.str.admix.K=3.out,3260.479055
K3_ILM10_replicate1_17.str.admix.K=3.out,3928.023210
K3_ILM10_replicate1_18.str.admix.K=3.out,2395.844999
K3_ILM10_replicate1_19.str.admix.K=3.out,3085.384030
K3_ILM10_replicate1_1.str.admix.K=3.out,3552.338769
K3_ILM10_replicate1_2.str.admix.K=3.out,2622.811701
K3_ILM10_replicate1_3.str.admix.K=3.out,3145.333538
K3_ILM10_replicate1_4.str.admix.K=3.out,3786.948136
